Los Angeles,5–13 May,1 stop,24 hrs,"JP¥178,450"
Hong Kong,30 May – 5 Jun,1 stop,17 hrs 35 min,"JP¥224,776"
London,5–12 May,1 stop,37 hrs 30 min,"JP¥223,816"
Vancouver,19–25 May,1 stop,34 hrs 55 min,"JP¥207,600"
San Francisco,5–14 May,2 stops,21 hrs 45 min,"JP¥170,872"
Tokyo,9–15 May,Non-stop,9 hrs 45 min,"JP¥130,689"
Las Vegas,23–29 May,2 stops,29 hrs 3 min,"JP¥293,492"
Amsterdam,6–12 May,2 stops,33 hrs 20 min,"JP¥323,288"
Dublin,13–21 May,2 stops,34 hrs 20 min,"JP¥266,525"
Barcelona,5–14 May,2 stops,31 hrs 10 min,"JP¥339,596"
New York,25 May – 2 Jun,1 stop,28 hrs 15 min,"JP¥236,547"
Madrid,18–27 May,2 stops,34 hrs 30 min,"JP¥323,359"
Seattle,6–12 May,1 stop,43 hrs 35 min,"JP¥173,348"
Berlin,18–27 May,2 stops,31 hrs,"JP¥292,765"
Lisbon,23–29 May,2 stops,34 hrs 10 min,"JP¥336,171"
Boston,5–14 May,2 stops,31 hrs 17 min,"JP¥265,707"
Paris,25–31 May,2 stops,28 hrs 15 min,"JP¥254,097"
Vienna,5–12 May,2 stops,28 hrs 35 min,"JP¥365,664"
Rome,16–23 May,2 stops,30 hrs 10 min,"JP¥255,977"
New Delhi,16–22 May,1 stop,24 hrs 5 min,"JP¥269,385"
Venice,16–22 May,2 stops,29 hrs 35 min,"JP¥254,966"
Prague,16–22 May,2 stops,34 hrs 20 min,"JP¥243,206"
Budapest,16–23 May,2 stops,32 hrs 50 min,"JP¥316,438"
Copenhagen,5–11 May,2 stops,32 hrs 15 min,"JP¥327,694"
San Diego,6–12 May,2 stops,28 hrs 51 min,"JP¥253,077"
İstanbul,16–22 May,1 stop,27 hrs 50 min,"JP¥564,032"
Chicago,5–14 May,1 stop,35 hrs 50 min,"JP¥248,126"
Los Angeles,17–26 Jun,2 stops,25 hrs 25 min,"JP¥204,579"
Hong Kong,3–11 Jun,1 stop,17 hrs 35 min,"JP¥224,776"
London,17–26 Jun,2 stops,34 hrs 15 min,"JP¥221,806"
Vancouver,2–8 Jun,1 stop,34 hrs 55 min,"JP¥250,541"
San Francisco,17–25 Jun,2 stops,21 hrs 45 min,"JP¥213,814"
Tokyo,6–13 Jun,Non-stop,9 hrs 45 min,"JP¥119,070"
Las Vegas,13–20 Jun,2 stops,29 hrs 3 min,"JP¥253,077"
Amsterdam,3–11 Jun,2 stops,33 hrs 20 min,"JP¥250,238"
Dublin,10–16 Jun,2 stops,34 hrs 20 min,"JP¥254,502"
Barcelona,15–21 Jun,2 stops,34 hrs 10 min,"JP¥361,461"
New York,16–24 Jun,2 stops,31 hrs 9 min,"JP¥262,676"
Madrid,3–11 Jun,2 stops,34 hrs 30 min,"JP¥276,073"
Seattle,30 Jun – 9 Jul,1 stop,43 hrs 35 min,"JP¥191,029"
Berlin,3–10 Jun,2 stops,31 hrs,"JP¥263,767"
Lisbon,17–26 Jun,2 stops,33 hrs 55 min,"JP¥304,243"
Boston,16–24 Jun,2 stops,31 hrs 22 min,"JP¥301,070"
Paris,8–14 Jun,1 stop,28 hrs 15 min,"JP¥235,456"
Vienna,13–19 Jun,1 stop,38 hrs 35 min,"JP¥260,018"
Rome,17–24 Jun,2 stops,34 hrs 35 min,"JP¥271,678"
New Delhi,20–26 Jun,1 stop,33 hrs 10 min,"JP¥269,385"
Venice,10–16 Jun,2 stops,33 hrs 25 min,"JP¥226,645"
Prague,17–26 Jun,2 stops,34 hrs 20 min,"JP¥232,799"
Budapest,10–16 Jun,2 stops,34 hrs 50 min,"JP¥278,417"
Copenhagen,10–17 Jun,2 stops,33 hrs 10 min,"JP¥256,027"
San Diego,13–20 Jun,2 stops,29 hrs 2 min,"JP¥253,077"
İstanbul,3–9 Jun,1 stop,36 hrs 55 min,"JP¥549,644"
Toronto,13–19 Jun,1 stop,34 hrs 15 min,"JP¥659,533"
Chicago,17–24 Jun,1 stop,33 hrs,"JP¥273,446"
Los Angeles,20–26 Jul,1 stop,24 hrs 20 min,"JP¥213,814"
Hong Kong,25 Jul – 1 Aug,1 stop,27 hrs 50 min,"JP¥223,281"
London,13–22 Jul,2 stops,43 hrs 20 min,"JP¥346,285"
Vancouver,21–30 Jul,1 stop,34 hrs 55 min,"JP¥189,918"
San Francisco,22–29 Jul,2 stops,25 hrs 3 min,"JP¥212,884"
